MasterFile,CollisionDate,CollisionTime,RoadwayName,ParkingLotIndicator,Milepoint,NumberInjured,NumberKilled,ofUnits,ofMotorVehicleUnits,Hit&RunIndicator,OneWayIndicator,SpeedLimitNumber,CountyCode,CityCountyCode,InCityLimitsIndicator,Latitude,Longitude,MannerofCollisionCode,LocationFirstEventCode,RoadwayCharacterCode,RoadwaySurfaceCode,RoadwayConditionCode,WeatherCode,LightConditionCode,LandUseCode,SchoolBusRelatedCode,FirstAidSceneIndicator,PropertyDamageIndicator,YR,KABCO,WorkingRID,KTC_RT,KTC_MP,Motorcyclist,Commercial Vehicle,Young Driver,Mature Driver,Pedestrian,Bicyclist,Distracted,Aggressive,Impaired,Unrestrained,Intersection,Roadway Departure,Median Cross-over,CityCrash,DACid,Intersection Crash,Segment Crash,Int_ID,CityIntersection
72475639,20200206,1833,KY1460,N,6.699,0,0,2,2,N,N,45,98,9801,Y,37.48363,-82.53923,1,3,6,1,5,3,4,1,3,N,N,2020,O,098-KY-1460  -000,098-KY-1460  -000,6.699,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Non-DAC,0,1,,
72687351,20211025,1239,US23,N,23.054,0,0,3,3,N,N,55,98,9801,Y,37.46593,-82.52791,5,3,6,1,5,6,2,1,3,N,N,2021,O,098-US-0023  -000,098-US-0023  -000,23.054,0,0,1,0,0,0,1,0,0,0,0,0,0,1,DAC,0,1,,
72613448,20210405,1545,KY1426,N,6.925,2,0,2,2,N,N,45,98,9801,Y,37.48621,-82.50909,4,3,4,1,1,2,2,1,3,Y,N,2021,C,098-KY-1426  -000,098-KY-1426  -000,6.925,0,0,0,1,0,0,0,1,0,0,1,0,0,1,Non-DAC,1,0,195-0950,1
72602222,20210305,1359,BYPASS ROAD,N,,0,0,2,2,Y,N,15,98,9801,Y,37.47215,-82.52272,2,97,6,2,1,2,2,1,3,N,N,2021,O,098-CS-1223  -000,098-CS-1223  -000,0.041,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Non-DAC,0,1,,
72673859,20210922,1341,CHLOE,N,3.413,0,0,1,1,N,N,35,98,9801,Y,37.47503,-82.48726,9,5,2,1,5,6,2,7,3,N,N,2021,O,098-KY-1460  -000,098-KY-1460  -000,3.413,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Non-DAC,0,1,,
72693091,20211105,936,CEDAR HILLS,N,0.648,0,0,1,1,N,N,35,98,9801,Y,37.47072,-82.55771,9,4,4,1,1,2,2,6,3,N,Y,2021,O,098-KY-3417  -000,098-KY-3417  -000,0.648,0,0,0,0,0,0,1,0,1,1,0,1,0,1,Non-DAC,1,0,195-1199,1
72607172,20210325,2046,CASSIDY,N,0.235,0,0,2,2,Y,N,25,98,9801,Y,37.50438,-82.53573,1,3,6,1,5,3,5,1,3,N,N,2021,O,098-CS-1191  -000,098-CS-1191  -000,0.235,0,0,0,0,0,0,1,1,0,0,0,0,0,1,Non-DAC,0,1,,
72726666,20220118,1559,US23,N,21.475,0,0,2,2,N,N,55,98,9801,Y,37.45152,-82.52367,5,3,6,1,1,2,2,1,3,N,N,2022,O,098-US-0023  -000,098-US-0023  -000,21.475,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Non-DAC,1,0,195-1274,1
72744590,20220325,1737,THOMPSON,N,0.646,0,0,2,2,N,N,35,98,9801,Y,37.50528,-82.5412,1,3,6,1,1,3,2,7,3,N,N,2022,O,098-CS-1215  -000,098-CS-1215  -000,0.646,0,0,0,1,0,0,1,1,0,0,0,0,0,1,Non-DAC,0,1,,
72810386,20220924,1910,KY1426,N,8.124,0,0,1,1,N,N,55,98,9801,Y,37.49295,-82.49094,9,3,1,1,5,3,1,7,3,Y,N,2022,O,098-KY-1426  -000,098-KY-1426  -000,8.124,0,0,1,0,0,0,1,0,0,0,0,1,0,1,Non-DAC,0,1,,
72470412,20200131,1757,US23,N,23.057,0,0,2,2,N,N,55,98,9801,Y,37.46585,-82.52814,1,3,6,1,5,3,5,1,3,N,N,2020,O,098-US-0023  -000,098-US-0023  -000,23.057,0,0,0,1,0,0,0,1,0,0,0,0,0,1,DAC,0,1,,
72686859,20211020,1028,KY3218,N,3.035,0,0,1,1,N,N,55,98,9801,Y,37.5597,-82.55919,9,3,2,1,1,2,2,7,3,N,N,2021,O,098-KY-3218  -000,098-KY-3218  -000,3.035,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Non-DAC,0,1,,
72713365,20211224,1817,US23,N,0.181,0,0,2,2,N,N,55,98,9801,Y,37.48003,-82.54353,8,3,6,1,1,2,5,7,3,N,N,2021,O,098-US-0023  -231,098-US-0023  -231,0.181,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Non-DAC,0,1,,
72731054,20220214,903,US23,N,31.592,0,0,3,3,N,N,55,98,9801,Y,37.53695,-82.60141,5,3,6,1,1,3,2,7,3,N,N,2022,O,098-US-0023  -000,098-US-0023  -000,31.592,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Non-DAC,1,0,195-0620,1
72756547,20220426,1405,US23,N,30.256,0,0,2,2,N,N,55,98,9801,Y,37.54016,-82.58202,8,3,6,1,1,3,2,7,3,N,N,2022,O,098-US-0023  -010,098-US-0023  -000,30.256,0,0,0,1,0,0,1,0,0,0,0,1,0,1,Non-DAC,0,1,,
